Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
(2008 EZ84),2072-2115,9,0.00019,7.91,26.2,0.02,-4.41,-4.72
(2011 BL45),2050-2119,56,0.00084,1.68,27.1,0.013,-4.42,-4.57
(2008 TE),2023-2077,4,4.3E-05,11.84,27.7,0.01,-4.43,-4.43
(2018 NJ),2083-2116,17,0.0016,5.85,27.8,0.009,-4.43,-4.44
(2016 RD34),2051-2094,21,0.00068,1.13,27.4,0.011,-4.44,-4.77
(2011 EB74),2032-2116,423,0.00033,7.54,26.9,0.014,-4.45,-5.41
(2018 TY4),2033-2033,1,0.00031,10.67,28.1,0.008,-4.45,-4.45
(2017 AE21),2021-2117,96,4.6E-06,5.14,25,0.034,-4.47,-5.01
(2018 JD),2067-2096,5,0.00026,8.01,26.7,0.016,-4.48,-4.48
(2012 BA77),2025-2088,29,3.3E-05,12.7,25.9,0.023,-4.49,-5.01
(2019 WG2),2093-2119,37,4.3E-05,14.77,24.9,0.035,-4.51,-5.05
(2012 MF7),2046-2096,12,0.00015,8.7,26.8,0.015,-4.53,-4.57
(2013 GM3),2028-2116,169,0.00015,7.14,26.2,0.019,-4.56,-5.31
(2010 MY112),2022-2092,28,1.1E-08,23.63,21,0.37,-4.58,-5.02
(2012 VE77),2033-2035,2,2.6E-05,15.33,26.3,0.018,-4.58,-4.58
(2006 HF6),2053-2110,26,1.1E-05,16.39,24.5,0.043,-4.6,-5.15
(2007 WP3),2098-2114,17,7.7E-06,13.03,23.5,0.067,-4.61,-4.98
(2018 DQ),2027-2114,62,0.00022,20.85,29.1,0.005,-4.61,-4.64
(2017 SF20),2034-2034,1,0.00033,10.44,28.4,0.007,-4.61,-4.61
(2015 XA378),2092-2119,22,5.2E-05,17.9,25.6,0.026,-4.61,-4.83
(2020 KD3),2081-2114,81,0.0002,7.92,26.4,0.018,-4.62,-4.79
(2014 WA201),2075-2082,6,0.0002,11.57,26.8,0.015,-4.63,-4.64
(2014 CR13),2103-2117,20,9.1E-05,12.29,25.7,0.024,-4.63,-4.74
(2018 GR4),2058-2120,39,0.00031,2.6,27.1,0.013,-4.63,-4.68
(2011 UM169),2099-2107,19,3.3E-05,13.96,25.1,0.033,-4.66,-4.87
(2008 FF5),2060-2060,1,4.8E-07,39.47,23.1,0.081,-4.67,-4.67
(2011 SO189),2056-2102,13,0.0001,12.99,26.5,0.017,-4.68,-5.04
(2017 PY26),2108-2117,6,1.2E-06,19.98,22.4,0.11,-4.69,-5.28
(2016 DK1),2043-2120,47,0.0003,6.87,27.4,0.011,-4.7,-5.13
(2020 DJ1),2083-2117,25,2.6E-05,14,24.9,0.036,-4.7,-4.93
(2020 JK),2071-2118,52,7.6E-06,18.59,24.1,0.052,-4.7,-5.67
(2005 NX55),2021-2107,105,4.3E-08,25.06,21.9,0.141,-4.72,-5.08
(2012 ES10),2054-2064,7,1.6E-06,24.36,23.7,0.061,-4.73,-5.01
(2007 HB15),2047-2115,59,0.00051,6.34,27.8,0.01,-4.73,-4.91
(2019 QR3),2073-2088,19,0.00024,10.98,27.1,0.013,-4.73,-5.08
(2020 UE),2061-2118,25,3E-05,14.58,25.6,0.026,-4.73,-5.07
(2017 VL2),2087-2115,58,0.00013,8.33,26.1,0.021,-4.75,-5.36
(2010 DG77),2021-2117,566,7.4E-06,2.38,24.5,0.044,-4.76,-6.2
(1995 CS),2042-2061,6,5.3E-06,25.44,25.4,0.028,-4.77,-4.8
(2001 GP2),2043-2107,23,0.00021,2.58,26.9,0.014,-4.77,-4.96
(2008 PK9),2045-2065,9,5.2E-07,26.64,23.2,0.078,-4.77,-5.11
(2018 NW),2046-2117,67,0.00034,21.14,27.8,0.009,-4.77,-5.37
(2005 XA8),2063-2086,21,3.6E-05,12.06,25.6,0.025,-4.79,-5.23
(2011 OB26),2096-2117,36,5.3E-05,10.99,25.5,0.027,-4.79,-5.24
(2014 YN),2095-2115,23,0.00011,3.27,25.7,0.024,-4.79,-5.29
(2011 CU46),2028-2117,502,2.3E-05,16,25.4,0.028,-4.8,-6.02
(2012 EK5),2070-2111,14,3.3E-05,15.13,25.5,0.026,-4.8,-5.07
(2019 TU),2088-2119,11,8.9E-05,9.72,26,0.021,-4.8,-4.81
(2017 YM1),2048-2103,18,2.8E-05,11.08,25.2,0.031,-4.81,-5
(2015 WN1),2053-2116,74,0.00011,8.88,26.3,0.018,-4.81,-5.55
(2011 VG9),2104-2119,3,4.8E-07,24.87,22.2,0.12,-4.83,-5
(2011 XC2),2056-2056,1,6.7E-07,20.75,23,0.085,-4.83,-4.83
(2020 DF3),2067-2081,3,2.4E-06,26.8,24.2,0.05,-4.83,-5.12
(2018 LF16),2023-2117,62,3.3E-08,15.13,21,0.213,-4.84,-5.33
(2010 XN69),2020-2116,143,6.9E-05,6.45,26.3,0.019,-4.84,-6.01
(2018 NL),2060-2114,26,3.8E-05,8.3,25.4,0.029,-4.84,-5.37
(2010 KV7),2034-2115,48,3.9E-05,5.37,26,0.021,-4.85,-5.17
(2016 EO28),2035-2054,19,0.00058,6.98,29.1,0.005,-4.85,-4.88
(2019 AU6),2064-2103,13,9.6E-05,8.74,26.6,0.016,-4.85,-5.11
(2002 VU17),2084-2099,5,1.4E-05,13.69,24.8,0.038,-4.86,-5.29
(2017 RV2),2071-2119,43,0.00013,6.48,26.2,0.019,-4.87,-5.39
(2000 WJ107),2114-2115,14,2.9E-06,12.78,23.1,0.081,-4.88,-5.58
(2014 LY21),2021-2116,969,8.3E-05,6.56,29.3,0.005,-4.88,-5.12
(2002 MN),2070-2109,8,2.8E-06,10.37,23.3,0.073,-4.89,-5.25
(2019 SJ),2082-2119,16,0.00045,8.52,27.6,0.01,-4.89,-5.21
(2010 JA43),2022-2118,100,8.1E-08,15.23,21.6,0.162,-4.9,-5.45
(2019 WE),2044-2078,8,7E-05,8.15,26.8,0.015,-4.93,-5.05
(2020 HL1),2055-2066,3,1.4E-05,9.44,25.3,0.03,-4.93,-5.06
(2007 VE8),2062-2062,1,2E-05,9.05,25.4,0.028,-4.94,-4.94
(2016 VB1),2065-2119,68,0.0013,5.45,28.6,0.007,-4.95,-5.49
(2009 WP6),2067-2114,53,4E-05,25.34,26.8,0.015,-4.96,-5.23
(2019 WU2),2086-2109,9,1E-05,11.53,24.6,0.041,-4.96,-5.06
(2020 GZ2),2049-2054,4,0.00022,9.54,28.1,0.008,-4.97,-4.97
(1996 TC1),2064-2072,3,1.3E-06,24.01,23.9,0.055,-5,-5.02
(2014 ML67),2023-2109,25,4.3E-07,21.17,24.2,0.05,-5,-5.19
